,CompanyName,CompanyNumber,names,roles
3277500,PRIMARY HPP PLC,12880960,"['HASAN, Badrul:', 'HASAN, Badrul:', 'ULLAH, Raza:']","['Secretary', 'Director', 'Director']"
3277865,PRIME (UK) HOLDINGS PLC,07383007,"['PRIME COMPANY SECRETARIAL SERVICES LIMITED:', 'CHUMBLEY, Leighton Daniel:', 'HOLLAND, Philip John:', 'KEYTE, Julian Edward John:', ""LAING, Richard Handley L'Anson:"", 'TOWN, Vikki Louise:', 'WILLIAMS, Richard Gareth Emery:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3278258,PRIME COMMERCIAL PROPERTIES PLC,02156499,"['ZAINUDDIN, Sri Rahayu:', 'GUBBAY, Edith:', 'GUBBAY, Jeffrey:', 'GUBBAY, Paul:', 'KHALASTCHI, Lesley:', 'KREMER, Gabriel:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3279232,PRIME NORDIC PLC,11643095,"['UPTON, Alex Roy:', 'LINDHOLM, Jan Mikael:', 'SHINDUKE, Kevin Douglas:']","['Secretary', 'Director', 'Director']"
3279319,PRIME PEOPLE PLC,01729887,"['ZANEVA-TODORINSKI, Donka Emilova:', 'HEAYBERD, Christopher Incledon:', 'LEWIS, John Henry James:', 'MACDONALD, Robert John Garvin:', 'MOORE, Peter Hugh:', 'ZANEVA-TODORINSKI, Donka Emilova:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3279387,PRIME PLC,03432065,"['PRIME COMPANY SECRETARIAL SERVICES LIMITED:', 'CHUMBLEY, Leighton Daniel:', 'HOLLAND, Philip John:', 'KEYTE, Julian Edward John:', ""LAING, Richard Handley L'Anson:"", 'TOWN, Vikki Louise:', 'WILLIAMS, Richard Gareth Emery:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3281119,PRIMO PLC,01008700,"['CARRIER, John:', 'CARRIER, John:', 'FOSTER-TAYLOR, Robin George:']","['Secretary', 'Director', 'Director']"
3281217,PRIMORUS INVESTMENTS PLC,03740688,"['HOLDEN, Simon William:', 'BEARDMORE, Matthew Paul:', 'CLARK, Hedley Stuart:', 'LABRUM, Rupert:']","['Secretary', 'Director', 'Director', 'Director']"
3284656,PRIORY BUSINESS GROUP PLC,03505655,"['PITMAN, Susanne:', 'HUNT, Nicholas John:', 'PITMAN, Joshua Toby:', 'PITMAN, Robert Edward:', 'PITMAN, Susanne:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3288460,PRO BONO BIO GROUP PLC,07802577,"['BOWEN, Justin:', 'ROY, Biresh:', 'WOLF - GARRAWAY, Richard:']","['Secretary', 'Director', 'Director']"
3291310,PROACTIS HOLDINGS PLC,05752247,"['HUGHES, Richard Gareth:', 'AUBREY, Alan John:', 'BROWN, Nicholas Richard:', 'HUGHES, Richard Gareth:', 'POTTS, Rodney:', 'SYKES, Timothy James:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3296125,PROFESSIONAL SERVICES (INTERNATIONAL) PLC,06051743,"['CRAVEN, Joan:', 'CRAVEN, Joan:', 'MAHTANI, Rajan Lekhraj, Dr:']","['Secretary', 'Director', 'Director']"
3299887,PROJECT FINANCING ADVISORS PLC,09152991,"['ZUDDAS, Egidio:', 'RIMOLA, Vincenzo:', 'ZUDDAS, Egidio:']","['Secretary', 'Director', 'Director']"
3302642,PROMARKET INTERNATIONAL PLC,08251885,"['FAASSEN, Gerrit Jan:', 'CODDAN SECRETARY SERVICE LIMITED:', 'FAASSEN, Gerrit Jan:', 'KIRCHHOFF, Stephan:']","['Secretary', 'Secretary', 'Director', 'Director']"
3303078,PROMETHIEUS TECHNOLOGIES PLC,11492218,"['LAGACE, Christine:', 'GILL, Amrit Paul Singh:', 'RAI, Kanwal Deep Singh:', 'SAMRA, Satvinder Singh:', 'SOUMAHORO, Souleymane:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3303953,PRONATURA ASSETS MANAGEMENT PLC,10758437,"['KANOU, Fadi:', 'KANOU, Fadi:', 'KANOU, Fares:', 'ROMAN, Shaloomov:']","['Secretary', 'Director', 'Director', 'Director']"
3304654,PROPEL FINANCE PLC,04015132,"['NATION, Catrin:', 'CATTON, Mark:', 'MCDOUGALL, Richard James:', 'MCNEILL, Edward Hugh:', 'TWEED, Mark Allan:', 'WILLIAMS, Anne:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3305265,PROPERTIES AND MORE PLC,08950668,"['ABEL, Eric Peter Henricus Maria:', 'ABEL, Eric Peter Henricus Maria:', 'ENES, Pepic:']","['Secretary', 'Director', 'Director']"
3305931,PROPERTY CAPITAL PLC,05743551,"['BIBBY, Peter James:', 'HENNESSEY, James Stanley:', 'QUARMBY, David Ian:']","['Secretary', 'Director', 'Director']"
3307688,PROPERTY RECYCLING GROUP PLC,05409619,"['RACKHAM (SNR), Paul Anthony:', 'RACKHAM JNR, Paul Anthony:', 'STUTELEY, Stephen Russell:', 'WILLIAMS, Jane:']","['Director', 'Director', 'Director', 'Director']"
3308241,PROPERTY TRUST PLC.(THE),00633000,"['CHAN, Nelson Chi-Fai:', 'CARGIL MANAGEMENT SERVICES LIMITED:', 'CHENG, Anthony Kwok Bo:', 'CHENG, Anthony Kai Chiu:']","['Secretary', 'Nominee Secretary', 'Director', 'Director']"
3308788,PROPHET PLC,02432936,"['PEACHEY, Mark Robert:', 'FARLEY, Antony Stuart:', 'HOULIHAN, David John:', 'PEACHEY, Mark Robert:', 'PEACHEY, Terence Brian:', 'SEEKINS, Paul Andrew:', 'WADE, Stephen Paul:', 'WALKER, Paul:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3308843,PROPIFI BONDS PLC,12648541,"['TRUVA CORPORATE ADMINISTRATION LIMITED:', 'HIGGINS, Craig:', 'TRUVA NOMINEE DIRECTOR 1 LIMITED:', 'TRUVA NOMINEE DIRECTOR 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
3308894,PROPITEER CAPITAL PLC,12101322,"['HOLE, Paul:', 'GAYNOR, David John:', 'HOLE, Paul Robert:', 'LACK, Paul Vernon:']","['Secretary', 'Director', 'Director', 'Director']"
3311192,PROSPEX ENERGY PLC,03896382,"['DESLER, Gerry:', 'DAWSON, Edward Roland:', 'MAYS, Richard Paul, Dr.:', 'SMITH, James Nicholas:', 'SMITH, William Hartman:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3311955,PROTECHNIS RISK MANAGEMENT PLC,10133859,"['GREEN, Derek:', 'GREEN, Barbara Ann:', 'GREEN, Derek:']","['Secretary', 'Director', 'Director']"
3312643,PROTEOME SCIENCES PLC,02879724,"['BIRSE, Victoria Joanna:', 'DENNIS, Richard Paul:', 'DIGGLE, Martin Henry:', 'MCDOWELL, Roger Steven:', 'NEY, Ursula Mary, Dr:', 'PEARCE, Christopher Donovan James:', 'PIKE, Ian Hugo, Dr:', 'SOEHNGEN, Mariola Gabriela, Dr:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3313124,PROTON MOTOR POWER SYSTEMS PLC,05700614,"['KOTLARZEWSKI, Roman Blaise:', 'GIERSE, Helmut:', 'GOLDNER, Sebastian:', 'KOTLARZEWSKI, Roman Blaise:', 'LIMBRUNNER, Manfred:', 'NAHAB, Faiz Francois, Dr:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3313821,PROVEN GROWTH AND INCOME VCT PLC,04125326,"['BERINGEA LLP:', 'CHRISTIE-MILLER, Natasha Isobel:', 'KURIAKOSE, Anna:', 'MOSS, Malcolm Kennedy Hunt:', 'VLESSING, Marc Ferdinand:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3313852,PROVEN VCT PLC,03911323,"['BERINGEA LLP:', 'DEAN, Barry Malcolm:', 'MOSS, Malcolm Kennedy Hunt:', 'RANSOME, Neal:', 'TILBIAN, Lorna Mona:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3314073,PROVEXIS PLC,05102907,"['FORD, Ian:', 'BONED, Frédéric:', 'BUCK, Charles Dawson:', 'FORD, Ian:', ""O'KENNEDY, Niamh Ann, Dr:""]","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3314318,PROVIDENT FINANCIAL PLC,00668987,"['DAVIES, Charlotte:', 'BLANCE, Andrea Margaret:', 'CHAMBERS, Elizabeth Grace:', 'EAST, Robert:', 'HEWITT, Paul William:', 'JAMES, Margot Cathleen:', 'KAPUR, Neeraj:', 'KNIGHT, Angela Ann:', 'LE MAY, Malcolm John:', 'LINDSAY, Graham John:', 'SNOWBALL, Patrick Joseph Robert:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3314335,PROVIDENT INSURANCE PLC,AC000644,[],[]
3315340,PRS FINANCE PLC,09331085,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'PEARCE, Clifford:', 'INTERTRUST DIRECTORS 1 LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
3317251,PSC REALISATIONS PLC,01613056,[],[]
3321156,PUBLIC POWER CORPORATION FINANCE PLC,06797566,"['NOROSE COMPANY SECRETARIAL SERVICES LIMITED:', 'ALEXANDRIDIS, Konstantinos:', 'ECONOMOU, Anargiros:', 'KAMILERI, Anna:', 'LYMBERIS, Cleo:', 'STASSIS, Georgios:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3321205,PUBLIC SECTOR PLC,03787574,"['EWING, Mark Patrick James:', 'MADDIN, Keith John:', 'ONSLOW, Thomas:', 'B V STRATEGIES LTD:']","['Director', 'Director', 'Director', 'Director']"
3322853,PULSAR INSTRUMENTS PLC,01097578,"['WORRALL, Margaret Susan:', 'WALLIS, Lynda Mary:', 'WORRALL, Margaret Susan:']","['Secretary', 'Director', 'Director']"
3323422,PUMA ALPHA VCT PLC,11939975,"['FROST, Paul James:', 'KOCK, Egmont Stephanus:', 'OIRSCHOT, Richard Anthony:', 'VAN MESSEL, Michael Laurent:']","['Secretary', 'Director', 'Director', 'Director']"
3323494,PUMA VCT 11 PLC,09197956,"['KAYE, Eliot Charles:', 'PAISNER, Harold Michael:', 'SHEAR, Maurice Arnold:', 'SHORE, Graham Barry:']","['Secretary', 'Director', 'Director', 'Director']"
3323495,PUMA VCT 12 PLC,09758309,"['KAYE, Eliot Charles:', 'BROCK, David Michael:', 'PIERCE, Raymond Francis:', 'SHORE, Graham Barry:']","['Secretary', 'Director', 'Director', 'Director']"
3323496,PUMA VCT 13 PLC,10376236,"['KAYE, Eliot:', 'BUCHLER, David Julian:', 'HAZELL-SMITH, Stephen John:', 'SHORE, Graham Barry:']","['Secretary', 'Director', 'Director', 'Director']"
3326989,PURE SERVICE PLC,07509375,"['EAVES, Anthony Colin:', 'EAVES, Anthony Colin:']","['Secretary', 'Director']"
3327505,PUREFORMANCE PLC,12548500,"['LEGAL SECRETARIES LTD:', 'FOERG, Siegfried:', 'REUTER, Martin Georg:']","['Secretary', 'Director', 'Director']"
3327820,PUREPROFILE MEDIA PLC,05340864,"['EDWARDS, Andrew Gwyn:', 'EDWARDS, Andrew Gwyn:', 'KLOSE, Susan Marie:']","['Secretary', 'Director', 'Director']"
3327930,PURETECH HEALTH PLC,09582467,"['MUNIZ, Stephen:', 'KUCHERLAPATI, Raju, Dr:', 'LAMATTINA, John, Dr.:', 'LANGER, Robert, Dr:', 'MAZUMDAR-SHAW, Kiran:', 'MUNIZ, Stephen:', 'SCARDINO, Marjorie Morris, Dame:', 'VIEHBACHER, Christopher:', 'ZOHAR, Daphne:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3330060,PURPLEBRICKS GROUP PLC,08047368,"['BOTHA, Andrew James:', 'BLAIR, Adrian Peter:', 'BOTHA, Andrew James:', 'CASPAR, Stephanie, Dr:', 'DARVEY, Victor Marc:', 'DOWNING, Simon Richard:', 'MORTIMER-ZHIKA, Elona:', 'PINDAR, Paul Richard Martin:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3331473,PV CRYSTALOX SOLAR PLC,06019466,"['FINNEGAN, Peter Joseph, Dr:', 'DORRITY, Iain Anthony:', 'SLEEMAN, John Keith:']","['Secretary', 'Director', 'Director']"
3332439,PWE HOLDINGS PLC,10174331,"['CHANDLER, Andrea Julie:', 'BOOT, Robert:', 'DAVIES, John:', 'FITZPATRICK, Sean:', 'HEWETT, Timothy Cleveland:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3333542,PYPLC ENTERPRISES LIMITED,04826047,"['PURSER, Jennifer Ann:', 'PURSER, Jennifer Ann:', 'WESTON, Philip Mark:']","['Secretary', 'Director', 'Director']"
3334427,PZ CUSSONS PLC,00019457,"['MASSIE, Kevin Michael:', 'BASHFORTH, Kirsty:', 'KUCZ, Dariusz:', 'MYERS, Jonathan Charles:', 'NICOLSON, John Ross:', 'POLLARD, Sarah:', 'SILVER, Caroline Louise:', 'TOWNSEND, Jeremy Charles Douglas:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3336233,QAH FINANCE PLC,13136352,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'WHITAKER, Paivi Helena:', 'INTERTRUST DIRECTORS 1  LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
3336857,QBE EUROPEAN OPERATIONS PLC,02641728,"['SMITH, Alexandra Jane:', 'HARRIS, Jason Richard:', 'INGRAM, Timothy Charles William:', 'KILLOURHY, Christopher Thomas:', 'TERRY, Nigel Joseph Douty:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3338197,QIB (UK) PLC,04656003,"['ANDERTON, Lesley:', 'ALY, Bassel Gamaleldin Mohamed:', 'HEMANI, Gourang:', 'ISMAIL, Marianne Laing:', 'KRAUSE, Ludwig:', 'SANGHVI, Rakesh:', 'STEELE-BODGER, Duncan:', 'THOMAS, David Victor:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3338345,QINETIQ GROUP PLC,04586941,"['MESSENT, Jon:', 'BRUBAKER, Lynn:', 'HARPER, John Michael:', 'JEMMETT-PAGE, Shonaid Christina Ross:', 'JOHNSON, Neil Anthony:', 'MASON, Ian:', 'MESSENGER, Gordon Kenneth, Sir:', 'SEARLE, Susan Jane:', 'SMITH, David Miles:', 'WADEY, Stephen John:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3340097,QSH CONSTRUCTION PLC,08786425,"['TREGUNTER ADMINISTRATIVE SERVICES LIMITED:', 'BRISTER, Alison Rae:', 'CONWAY, Jonathan:', 'FIELDING, Mark, Dr:', 'JACKSON, Martin Derick:', 'WALDRON, Patrick James:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3340468,QU TRADERS PLC,12392904,"['UK COMPANY SECRETARIES LTD:', 'GU, Tingting:', 'YUNG KONG, Chin, Dr:']","['Secretary', 'Director', 'Director']"
3340697,QUADGAS FINANCE PLC,10619488,"['BENNETT, Diane Mary:', 'BRAITHWAITE, Mark William:', 'HURRELL, Stephen Glynn:', 'KORPANCOVÁ, Jaroslava:']","['Secretary', 'Director', 'Director', 'Director']"
3341110,QUADRISE FUELS INTERNATIONAL PLC,05267512,"['MSP CORPORATE SERVICES LIMITED:', 'KIRK, Michael Peter:', 'MILES, Jason Victor:', 'MUTCH, Laurence Ian:', 'SHAH, Dilipkumar:', 'SNAITH, Philip Neil:', 'WHITTLE, Mark:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3344825,QUANTUM BIOMED FARMS PLC,11811922,"['GUSTAFSON, Arnold Leonard:', 'GUSTAFSON, Arnold Leonard:', 'TOURETTE, John:']","['Secretary', 'Director', 'Director']"
3344868,QUANTUM CABLE SYSTEM PLC,12156423,"['QUANTUM SECRETARIAL SERVICES LIMITED:', 'KTORIDIS, Athanasios:', 'SOFOKLEOUS, Sofoklis:', 'VOVIDES, Harris:']","['Secretary', 'Director', 'Director', 'Director']"
3345087,QUANTUM ENERGY CORPORATION PLC,12156513,"['QUANTUM SECRETARIAL SERVICES LIMITED:', 'KILLAS, Georgios:', 'KTORIDIS, Athanasios:', 'SOFOKLEOUS, Sofoklis:', 'VOVIDES, Harris:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3346507,QUARTIX HOLDINGS PLC,06395159,"['MENDIS, Daniel Christian:', 'BOUGHTON, Paul Victor:', 'MENDIS, Daniel Christian:', 'SEFFINO, Laura Andrea:', 'WALTERS, Andrew John:', 'WARWICK, David James:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3346521,QUARTO PUBLISHING PLC,01252863,"['CLARKE, Michael Peter, Dr:', 'LAU, Chuk Kin:', 'POWELL, Polly Augusta Marchant:']","['Secretary', 'Director', 'Director']"
3349557,QUEROS CAPITAL PARTNERS PLC,09294394,"['BOOM, Marcel Samuel:', 'COULAUD, Maxime Dominique Antoine:']","['Director', 'Director']"
3350324,QUETZAL CAPITAL PLC,05840813,"['HARBER, Ben:', 'GRANT-RENNICK, Simon Richard:', 'TAYLOR, John Edward:']","['Secretary', 'Director', 'Director']"
3350564,QUICK CHIPS PLC,04332372,"['JBL SECRETARIAL SERVICES LIMITED:', 'SMITH, Nicholas Paul:', 'STAVELEY EVANS LEGAL SERVICES LIMITED:']","['Secretary', 'Director', 'Director']"
3352441,QUILTER PLC,06404270,"['GONSALVES, Patrick Anthony:', 'BREEDON, Timothy James:', 'ESSANI, Tazim:', 'FEENEY, Paul William:', 'HARRIS, Rosemary:', 'JONES, Glyn Parry:', 'KILCOYNE, Moira:', 'MARKLAND, Ruth:', 'MATTHEWS, Paul Stephen:', 'REID, George Mcgrimmon:', 'SATCHEL, Mark Oscar:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3352475,QUIMBAYA MINING PLC,12008451,"['LAGACE, Christine:', 'LEWIN, Jamie Arthur:', 'MCLEARY, Michelle Alison:', 'THURSTON, Brian George:']","['Secretary', 'Director', 'Director', 'Director']"
3353794,QUISS TECHNOLOGY PLC,02248732,"['WARD, Joanne:', 'BULL, Suzanne Elizabeth:', 'HARRISON, Ian:', 'MICHAEL, Andrew:', 'TAYLOR, Clive Edward:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3353904,QUIXANT PLC,04316977,"['PARK, Louise Emily:', 'JARMANY, Nicholas Charles Leopold:', 'JAYAL, Jonathan Francis:', 'MULLINS, Gary Paul:', 'PEAGRAM, Michael John:', 'SMALL, Francis David:', 'VAN ZWANENBERG, Guy Christopher:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3358917,R C BROWN INVESTMENT MANAGEMENT PLC,02489639,"['BROWN, Oliver Charles:', 'BEANEY, Alan Frederick:', 'BROWN, Oliver Charles:', 'BROWN, Robert Charles:', 'MEYER, Glenn John:', 'WHELAN, Neil Michael:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3363303,R P S GROUP PLC,02087786,"['GORMLEY, David Joseph:', 'BAINBRIDGE, Allison Margaret:', 'COTTRELL, Judith:', 'DOUGLAS, John Matheson:', 'GLICKMAN, Catherine Janet:', 'LEVER, Kenneth:', 'MCKELVY, Michael:', 'PEACE, Elizabeth Ann:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3369174,R.E.A. HOLDINGS PLC,00671099,"['R.E.A. SERVICES LIMITED:', 'BLACKETT, David John:', 'CHIA, Irene:', 'GYSIN, Carol Elizabeth:', 'OAKLEY, John Clifton:', 'ROBINOW, Richard Michael:', 'SATAR, Rizal:', 'ST CLAIR-GEORGE, Michael Anthony:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3372604,RA INTERNATIONAL GROUP PLC,11252957,"['AMBA SECRETARIES LIMITED:', 'BOLTER, Andrew:', 'CARSTAIRS, Alexander Marshall:', 'HAYDN-SLATER, Philip:', 'HENDERSON, Ian Ramsay:', 'NARFELDT, Lars Ola:', 'NARFELDT, Soraya Muriel:', 'SHAH, Sangita Vadilal Manilal:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3373662,RAC BOND CO PLC,10084638,"['BOWDEN, Kelly:', 'BAKER, Joanna Mary:', 'GALLICO, Timothy Huish:', 'LEVY, Alexandre Michel:', 'WYNNE, Daniel Jonathan:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3376484,RADIAN CAPITAL PLC,07890812,"['BURTON-CONNOLLY, Gemma:', 'FACEY, Ralph Martin:', 'LODGE, Stephen:', 'MOORE, Caroline Louise:', 'ORR, John Gary:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3380258,RAGLAN ASSOCIATES TRADING PLC,13024911,"['THOMASHEV, Judith:', 'THOMASHEV, Judith:', 'THOMASHEV, Richard:']","['Secretary', 'Director', 'Director']"
3381415,RAIL CAPITAL MARKETS PLC,11620230,"['TMF CORPORATE ADMINISTRATION SERVICES LIMITED:', 'CHESHIRE, Vincent:', 'JOINT CORPORATE SERVICES LIMITED:', 'TMF CORPORATE DIRECTORS LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
3385493,RAK PETROLEUM PLC,08572925,"['TONER, Kevin:', 'AL GHURAIR, Sultan Abdulla Ahmad Majid:', 'DALE, Bjorn Kenneth:', 'HANDJANI, Amirali:', 'JAWA, Ahmed Jamal:', 'MOSSAVAR-RAHMANI, Bijan:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3387231,RAMBLER METALS AND MINING PLC,05101822,"['SANFORD, Tim:', 'ACKERMAN, Terrell Iver:', 'BRADBURY, Toby Jonathan, Dr:', 'CHEN, Eason Cong:', 'LABATTE, Belinda:', 'MILLS, Bradford Alan:', 'PATIL, Priya:', 'ROUND, Richard Calvin:', 'SANDER, Mark Vandyke:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3388442,RAMSDENS HOLDINGS PLC,08811656,"['BROWN, Kevin Nigel:', 'CLYBURN, Martin:', 'HERRICK, Simon Edward:', 'KENYON, Peter Edward:', 'MEEHAN, Andrew David:', 'SMITH, Stephen John:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3390377,RANGERS INTERNATIONAL FOOTBALL CLUB PLC,SC437060,"['BLAIR, James:', 'BENNETT, John:', 'JOHNSTON, Alastair:', 'PARK, Douglas Ireland:', 'PARK, Graeme Thomas:', 'SCOTT, Barry James:', 'WOLHARDT, Julian Juul:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3390673,RANK GROUP FINANCE PLC,01899693,"['WRIGHT, Luisa Ann:', 'FLOYDD, William James Spencer:', ""O'REILLY, John Patrick:""]","['Secretary', 'Director', 'Director']"
3391043,RANSOHOFF PLC,00438954,"['MCEACHEN, James Theodore:', 'PHANEUF, Eugene:', 'WILSON, Karle:']","['Director', 'Director', 'Director']"
3391495,RAPESCO GROUP HOLDINGS PLC,05452341,"['WARD, Nicholas Timothy:', 'JAMES, David John Scott:', 'WARD, Nicholas Timothy:']","['Secretary', 'Director', 'Director']"
3391498,RAPESCO OFFICE PRODUCTS PLC,00634473,"['WARD, Nicholas Timothy:', 'JAMES, David John Scott:', 'WARD, Nicholas Timothy:']","['Secretary', 'Director', 'Director']"
3392143,RAPID NUTRITION PLC,07905640,"['ELEMENTAL COMPANY SECRETARY LIMITED:', 'KELLOW, Shayne Anthony:', 'ST LEDGER, Simon:', 'VENDERBEKEN, Vesta:']","['Secretary', 'Director', 'Director', 'Director']"
3393471,RARE METAL TRADING AND RESTORATION PLC,10011917,"['EDWIN COE SECRETARIES LIMITED:', 'MCEWEN, Ross Alexander:', 'VILLIERS, Christopher Chris:']","['Secretary', 'Director', 'Director']"
3396168,RAVEL CONSTRUCTION PLC,12840863,"['COOK, John Patrick Mervyn:', 'CAMPBELL, David Ralph:', 'COOK, John Patrick Mervyn:', 'NISAR, Umair:', 'WATTS, Vivian James:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3396446,RAVEN RESOURCES PLC,11816286,"['TRAYNOR, Dominic:', 'JOHNSON, Michael Stephen, Dr:', 'TRAYNOR, Dominic:']","['Secretary', 'Director', 'Director']"
3396643,RAVENHOUSE PLC,12799557,"['UK COMPANY SECRETARIES LTD:', 'BLACKBURN, Paul:', 'CAVELEY, Maureen Anne:']","['Secretary', 'Director', 'Director']"
3396920,RAVENSDEN PLC,01206928,"['PAPE, Susan Jane:', 'PAPE, Brian Martin Barry:', 'PAPE, Michael Barry:', 'PAPE, Richard Martin:', 'PAPE, Susan Jane:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
3402550,RBG HOLDINGS PLC,11189598,"['LOVITT, Jon Richard:', 'FOULSTON, Nicola Mary:', 'HAMILL, Keith:', 'HULL, Victoria Mary:', 'ISMAIL, Marianne Laing:', 'PARKER, Robert Glyn:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3403168,RBS SECURITIES PLC,06273073,"['THOMPSON, Ralph:', 'STROUD, Paul Simon:', 'THOMPSON, Ralph:']","['Secretary', 'Director', 'Director']"
3404015,RCC BUSINESS MORTGAGES PLC,01767416,"['IRVING, Hannah Louise:', 'ANJUM, Jawad:', 'BOYCE, Gary David:', 'DICKSON, Craig:', 'FIELD, Christopher Simon:', 'HAWKINS, Simon James:', 'IRVING, Hannah Louise:', 'MITCHELL, John Andrew:', 'WARD, David John:', 'WATTS, Shaun:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3404033,RCC INSURANCE BROKERS PLC,00832566,"['IRVING, Hannah Louise:', 'HAWKINS, Simon James:', 'IRVING, Hannah Louise:', 'MURRAY, Walter:']","['Secretary', 'Director', 'Director', 'Director']"
3406496,RDL REALISATION PLC,09510201,"['LINK COMPANY MATTERS LIMITED:', 'HAWTHORNE, Brendan:', 'KENARY, Joseph Anthony:', 'MILLER, Brett Lance:']","['Secretary', 'Director', 'Director', 'Director']"
3408031,REABOLD RESOURCES PLC,03542727,"['SAMAHA, Anthony John:', 'EDELMAN, Jeremy Samuel:', 'FELTON, Michael Craig:', 'MOZETIC, Marcos Estanislao:', 'OZA, Sachin Sharad:', 'SAMAHA, Anthony John:', 'WILLIAMS, Stephen Anthony:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3408333,REACH PLC,00082548,"['CLOVER, Lorraine Rachel Sztyk:', 'BULFORD, Anne Christine:', 'FULLER, Simon Jeremy Ian:', 'HATCH, Steven Thomas:', 'KELLY, David Thomas, Dr:', 'MULLEN, James Joseph:', 'PRETTEJOHN, Nicholas Edward Tucker:', 'STEVENSON, Helen Claire:', 'STREATFEILD, Olivia:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
3408676,REACT GROUP PLC,05454010,"['PANKHURST, Andrea:', 'BRAUND, Mark Andrew:', 'DOAK, Shaun David:', 'GILBERT, Robert John:', 'JOYCE, Michael Robert Sean:', 'PANKHURST, Andrea Elizabeth:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
3409623,READMAR PLC,03281814,"['SWINBURN, Colin Lester:', 'SCOTT, Evan Mark:', 'SWINBURN, Colin Lester:']","['Secretary', 'Director', 'Director']"
